Hojiboy Tojiboyev Life Hacks,COMICS,5.0,15,37M,"1,000+",Free,0,Everyone,Comics,"June 26, 2018",2.0,4.0.3 and up
American Girls Mobile Numbers,DATING,5.0,5,4.4M,"1,000+",Free,0,Mature 17+,Dating,"July 17, 2018",3.0,4.0.3 and up
Awake Dating,DATING,5.0,2,70M,100+,Free,0,Mature 17+,Dating,"July 24, 2018",2.2.9,4.4 and up
Spine- The dating app,DATING,5.0,5,9.3M,500+,Free,0,Teen,Dating,"July 14, 2018",4.0,4.0.3 and up
Girls Live Talk - Free Text and Video Chat,DATING,5.0,6,5.0M,100+,Free,0,Mature 17+,Dating,"August 1, 2018",8.2,4.0.3 and up
Online Girls Chat Group,DATING,5.0,5,5.0M,100+,Free,0,Mature 17+,Dating,"August 2, 2018",8.2,4.0.3 and up
Speeding Joyride & Car Meet App,DATING,5.0,3,25M,100+,Free,0,Mature 17+,Dating,"July 20, 2018",1.2.9,4.1 and up
SUMMER SONIC app,EVENTS,5.0,4,61M,500+,Free,0,Everyone,Events,"July 24, 2018",1.0,4.4 and up
Prosperity,EVENTS,5.0,16,2.3M,100+,Free,0,Everyone,Events,"July 9, 2018",1.14,2.0 and up
Mindvalley U Tallinn 2018,EVENTS,5.0,1,21M,100+,Free,0,Everyone,Events,"July 3, 2018",1.0.5,4.4 and up
Eternal life,LIBRARIES_AND_DEMO,5.0,26,2.5M,"1,000+",Free,0,Everyone,Libraries & Demo,"May 24, 2018",1.0,1.6 and up
Super Hearing Secret Voices Recorder PRO,MEDICAL,5.0,3,23M,100+,Paid,$2.99,Everyone,Medical,"April 20, 2018",1.0,4.1 and up
FHR 5-Tier 2.0,MEDICAL,5.0,2,1.2M,500+,Paid,$2.99,Everyone,Medical,"December 16, 2015",1.0,4.0 and up
Sway Medical,MEDICAL,5.0,3,22M,100+,Free,0,Everyone,Medical,"July 25, 2018",3.0.0,5.0 and up
Labs on Demand,MEDICAL,5.0,1,22M,10+,Free,0,Everyone,Medical,"August 3, 2018",1.2,4.2 and up
Dermatology Atlas (Colored & Illustrative),MEDICAL,5.0,3,20M,100+,Free,0,Everyone,Medical,"July 19, 2018",1.0,4.1 and up
Tablet Reminder,MEDICAL,5.0,4,2.5M,5+,Free,0,Everyone,Medical,"August 3, 2018",1.0,4.1 and up
Galaxies of Hope,MEDICAL,5.0,2,24M,50+,Free,0,Everyone,Medical,"July 27, 2018",1.0,4.1 and up
KBA-EZ Health Guide,MEDICAL,5.0,4,25M,1+,Free,0,Everyone,Medical,"August 2, 2018",1.0.72,4.0.3 and up
FoothillsVet,MEDICAL,5.0,2,29M,50+,Free,0,Everyone,Medical,"July 11, 2018",300000.1.11,4.0.3 and up
PrimeDelivery,MEDICAL,5.0,3,53M,10+,Free,0,Everyone,Medical,"July 13, 2018",0.1,4.1 and up
You're an Anime,MEDICAL,5.0,2,83M,10+,Free,0,Everyone,Medical,"July 12, 2018",1.0,5.0 and up
Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5.0,1,4.6M,5+,Free,0,Everyone,Medical,"August 2, 2018",2.0,4.0 and up
NCLEX Multi-topic Nursing Exam Review-Quiz & notes,MEDICAL,5.0,1,4.2M,10+,Free,0,Everyone,Medical,"July 24, 2018",1.0,4.0.3 and up
Basics of Orthopaedics,MEDICAL,5.0,1,5.6M,10+,Free,0,Everyone,Medical,"July 27, 2018",1.0,4.1 and up
Clinic Doctor EHr,MEDICAL,5.0,2,7.1M,5+,Free,0,Everyone,Medical,"August 3, 2018",1.0.51.0.3,8.0 and up
Sway Medical,MEDICAL,5.0,3,22M,100+,Free,0,Everyone,Medical,"July 25, 2018",3.0.0,5.0 and up
420 BZ Budeze Delivery,MEDICAL,5.0,2,11M,100+,Free,0,Mature 17+,Medical,"June 6, 2018",1.0.1,4.1 and up
BP Journal - Blood Pressure Diary,MEDICAL,5.0,6,26M,"1,000+",Free,0,Everyone,Medical,"May 25, 2018",1.0.32,4.4 and up
Zen Leaf,MEDICAL,5.0,1,6.1M,100+,Free,0,Mature 17+,Medical,"March 8, 2018",2.3.5,4.1 and up
ADS-B Driver,TOOLS,5.0,2,6.3M,100+,Paid,$1.99,Everyone,Tools,"May 15, 2018",1.19,4.4 and up
P-Home for KLWP,PERSONALIZATION,5.0,4,12M,100+,Paid,$0.99,Everyone,Personalization,"May 15, 2018",v2018.May.15.14,5.0 and up
Android P Style Icon Pack,PERSONALIZATION,5.0,1,60M,100+,Paid,$0.99,Everyone,Personalization,"June 16, 2018",1.0,4.1 and up
